Lake,Timepoint,Time,Depth,DO,Temperature,Light,pH,Conductivity,Chlorophyll,Phycocyanin,Production
TroutBog,4,9,7,,,,,,30.69,7.19,8.547486034
TroutBog,8,13,0,8.2,22.69,2800,4.36,19.3,25.93,4.44,19.25
TroutBog,8,13,1,0.59,15.67,136,3.8,42.2,25.93,4.44,19.25
TroutBog,8,13,2,0.29,7.01,91,4.01,22.6,25.93,4.44,19.25
TroutBog,8,13,3,0.28,4.58,90.7,3.94,22.6,25.93,4.44,19.25
TroutBog,8,13,4,0.22,4.41,94,4.02,23,25.93,4.44,19.25
TroutBog,8,13,5,0.23,4.22,,4.12,24.5,25.93,4.44,19.25
TroutBog,8,13,6,0.2,4.29,,4.33,29.9,25.93,4.44,19.25
TroutBog,8,13,7,0.2,4.42,,4.57,37.4,25.93,4.44,19.25
TroutBog,12,17,0,8.03,24.54,650,4.25,20,8.38,-0.005,6.25
TroutBog,12,17,1,0.31,17.56,44,3.91,36.8,8.38,-0.005,6.25
TroutBog,12,17,2,0.5,9.78,60.5,3.97,25.7,8.38,-0.005,6.25
TroutBog,12,17,3,0.2,6.09,63.9,4.08,22,8.38,-0.005,6.25
TroutBog,12,17,4,0.19,4.45,66.7,4.19,22.6,8.38,-0.005,6.25
TroutBog,12,17,5,0.17,4.21,56.6,4.49,24.5,8.38,-0.005,6.25
TroutBog,12,17,6,0.17,4.26,35.7,4.55,28.1,8.38,-0.005,6.25
TroutBog,12,17,7,0.17,4.41,32,4.83,39.4,8.38,-0.005,6.25
TroutBog,16,21,0,8.08,22.32,55,4.25,19.5,6.92,-0.13,25.25
TroutBog,16,21,1,0.78,12.99,20.8,3.87,32.2,6.92,-0.13,25.25
TroutBog,16,21,2,0.3,6.9,12.8,4,22.5,6.92,-0.13,25.25
TroutBog,16,21,3,0.25,4.78,20.5,3.94,22.1,6.92,-0.13,25.25
TroutBog,16,21,4,0.23,4.26,20.2,3.93,23.8,6.92,-0.13,25.25
TroutBog,16,21,5,0.21,4.23,19.4,3.98,25.4,6.92,-0.13,25.25
TroutBog,16,21,6,0.2,4.34,22.6,4.15,33.3,6.92,-0.13,25.25
TroutBog,16,21,7,0.19,4.47,20.7,4.82,57.4,6.92,-0.13,25.25
TroutBog,20,1,0,8.47,22.02,,4.08,19.2,,,70.29288703
TroutBog,20,1,1,5.93,20.46,,3.87,25.9,,,70.29288703
TroutBog,20,1,2,1.1,7.93,,3.99,22.7,,,70.29288703
